instance,N,K,dist,Greedy_LS,MIP,SA,Tabu,best,Greedy_LS_gap%,SA_gap%,Tabu_gap%
scale_cluster_N200_K15_s42.txt,200,15,cluster,764.0,,742.0,2566.0,742.0,2.96,0.0,245.82
scale_cluster_N30_K4_s42.txt,30,4,cluster,714.0,1766.0,728.0,819.0,714.0,0.0,1.96,14.71
scale_cluster_N80_K8_s42.txt,80,8,cluster,773.0,,773.0,928.0,773.0,0.0,0.0,20.05
scale_cluster_N8_K2_s42.txt,8,2,cluster,753.0,753.0,753.0,753.0,753.0,0.0,0.0,0.0
scale_outlier_N200_K15_s42.txt,200,15,outlier,670.0,,670.0,1814.0,670.0,0.0,0.0,170.75
scale_outlier_N30_K4_s42.txt,30,4,outlier,652.0,807.0,689.0,653.0,652.0,0.0,5.67,0.15
scale_outlier_N80_K8_s42.txt,80,8,outlier,688.0,,689.0,974.0,688.0,0.0,0.15,41.57
scale_outlier_N8_K2_s42.txt,8,2,outlier,624.0,624.0,624.0,624.0,624.0,0.0,0.0,0.0
scale_uniform_N120_K10_s42.txt,120,10,uniform,1046.0,,1040.0,1756.0,1040.0,0.58,0.0,68.85
scale_uniform_N16_K4_s42.txt,16,4,uniform,807.0,1037.0,807.0,807.0,807.0,0.0,0.0,0.0
scale_uniform_N200_K15_s42.txt,200,15,uniform,997.0,,935.0,3158.0,935.0,6.63,0.0,237.75
scale_uniform_N300_K20_s42.txt,300,20,uniform,919.0,,898.0,3583.0,898.0,2.34,0.0,299.0
scale_uniform_N30_K4_s42.txt,30,4,uniform,1101.0,2093.0,1101.0,1101.0,1101.0,0.0,0.0,0.0
scale_uniform_N50_K5_s42.txt,50,5,uniform,1185.0,,1197.0,1197.0,1185.0,0.0,1.01,1.01
scale_uniform_N80_K8_s42.txt,80,8,uniform,989.0,,984.0,2240.0,984.0,0.51,0.0,127.64
scale_uniform_N8_K2_s42.txt,8,2,uniform,1201.0,1201.0,1201.0,1460.0,1201.0,0.0,0.0,21.57
timelimit_uniform_N30_K4_s0.txt,30,4,uniform,1017.0,2572.0,1017.0,1087.0,1017.0,0.0,0.0,6.88
timelimit_uniform_N30_K4_s1.txt,30,4,uniform,1289.0,2297.0,1357.0,1390.0,1289.0,0.0,5.28,7.84
timelimit_uniform_N30_K4_s2.txt,30,4,uniform,1179.0,1963.0,1179.0,1299.0,1179.0,0.0,0.0,10.18
timelimit_uniform_N30_K4_s3.txt,30,4,uniform,1177.0,2043.0,1177.0,1531.0,1177.0,0.0,0.0,30.08
timelimit_uniform_N30_K4_s4.txt,30,4,uniform,1148.0,2482.0,1148.0,1168.0,1148.0,0.0,0.0,1.74
