instance,study,dist,N,K,solver,time_limit,objective,runtime,status
scale_cluster_N200_K15_s42.txt,scale,cluster,200,15,Greedy_LS,0.5,764,0.503,OK
scale_cluster_N200_K15_s42.txt,scale,cluster,200,15,SA,0.5,742,0.444,OK
scale_cluster_N200_K15_s42.txt,scale,cluster,200,15,Tabu,0.5,3033,0.812,OK
scale_cluster_N200_K15_s42.txt,scale,cluster,200,15,Greedy_LS,1.0,764,1.007,OK
scale_cluster_N200_K15_s42.txt,scale,cluster,200,15,SA,1.0,742,0.888,OK
scale_cluster_N200_K15_s42.txt,scale,cluster,200,15,Tabu,1.0,2890,1.239,OK
scale_cluster_N200_K15_s42.txt,scale,cluster,200,15,Greedy_LS,2.0,764,1.618,OK
scale_cluster_N200_K15_s42.txt,scale,cluster,200,15,SA,2.0,742,1.765,OK
scale_cluster_N200_K15_s42.txt,scale,cluster,200,15,Tabu,2.0,2566,2.311,OK
scale_cluster_N200_K15_s42.txt,scale,cluster,200,15,Greedy_LS,5.0,764,1.617,OK
scale_cluster_N200_K15_s42.txt,scale,cluster,200,15,SA,5.0,742,4.405,OK
scale_cluster_N200_K15_s42.txt,scale,cluster,200,15,Tabu,5.0,2487,5.118,OK
scale_cluster_N30_K4_s42.txt,scale,cluster,30,4,Greedy_LS,0.5,714,0.241,OK
scale_cluster_N30_K4_s42.txt,scale,cluster,30,4,SA,0.5,728,0.443,OK
scale_cluster_N30_K4_s42.txt,scale,cluster,30,4,Tabu,0.5,819,0.504,OK
scale_cluster_N30_K4_s42.txt,scale,cluster,30,4,MIP,0.5,2160,0.588,OK
scale_cluster_N30_K4_s42.txt,scale,cluster,30,4,Greedy_LS,1.0,714,0.221,OK
scale_cluster_N30_K4_s42.txt,scale,cluster,30,4,SA,1.0,728,0.882,OK
scale_cluster_N30_K4_s42.txt,scale,cluster,30,4,Tabu,1.0,819,1.004,OK
scale_cluster_N30_K4_s42.txt,scale,cluster,30,4,MIP,1.0,1766,1.042,OK
scale_cluster_N30_K4_s42.txt,scale,cluster,30,4,Greedy_LS,2.0,714,0.223,OK
scale_cluster_N30_K4_s42.txt,scale,cluster,30,4,SA,2.0,728,1.762,OK
scale_cluster_N30_K4_s42.txt,scale,cluster,30,4,Tabu,2.0,819,2.005,OK
scale_cluster_N30_K4_s42.txt,scale,cluster,30,4,MIP,2.0,1766,2.064,OK
scale_cluster_N30_K4_s42.txt,scale,cluster,30,4,Greedy_LS,5.0,714,0.233,OK
scale_cluster_N30_K4_s42.txt,scale,cluster,30,4,SA,5.0,714,4.405,OK
scale_cluster_N30_K4_s42.txt,scale,cluster,30,4,Tabu,5.0,819,5.005,OK
scale_cluster_N30_K4_s42.txt,scale,cluster,30,4,MIP,5.0,1097,5.255,OK
scale_cluster_N80_K8_s42.txt,scale,cluster,80,8,Greedy_LS,0.5,773,0.504,OK
scale_cluster_N80_K8_s42.txt,scale,cluster,80,8,SA,0.5,773,0.445,OK
scale_cluster_N80_K8_s42.txt,scale,cluster,80,8,Tabu,0.5,1291,0.526,OK
scale_cluster_N80_K8_s42.txt,scale,cluster,80,8,Greedy_LS,1.0,773,0.614,OK
scale_cluster_N80_K8_s42.txt,scale,cluster,80,8,SA,1.0,773,0.883,OK
scale_cluster_N80_K8_s42.txt,scale,cluster,80,8,Tabu,1.0,951,1.012,OK
scale_cluster_N80_K8_s42.txt,scale,cluster,80,8,Greedy_LS,2.0,773,0.59,OK
scale_cluster_N80_K8_s42.txt,scale,cluster,80,8,SA,2.0,773,1.763,OK
scale_cluster_N80_K8_s42.txt,scale,cluster,80,8,Tabu,2.0,928,2.01,OK
scale_cluster_N80_K8_s42.txt,scale,cluster,80,8,Greedy_LS,5.0,773,0.564,OK
scale_cluster_N80_K8_s42.txt,scale,cluster,80,8,SA,5.0,773,4.402,OK
scale_cluster_N80_K8_s42.txt,scale,cluster,80,8,Tabu,5.0,928,5.015,OK
scale_cluster_N8_K2_s42.txt,scale,cluster,8,2,Greedy_LS,0.5,753,0.061,OK
scale_cluster_N8_K2_s42.txt,scale,cluster,8,2,SA,0.5,753,0.443,OK
scale_cluster_N8_K2_s42.txt,scale,cluster,8,2,Tabu,0.5,753,0.503,OK
scale_cluster_N8_K2_s42.txt,scale,cluster,8,2,MIP,0.5,753,0.379,OK
scale_cluster_N8_K2_s42.txt,scale,cluster,8,2,Greedy_LS,1.0,753,0.065,OK
scale_cluster_N8_K2_s42.txt,scale,cluster,8,2,SA,1.0,753,0.882,OK
scale_cluster_N8_K2_s42.txt,scale,cluster,8,2,Tabu,1.0,753,1.006,OK
scale_cluster_N8_K2_s42.txt,scale,cluster,8,2,MIP,1.0,753,0.263,OK
scale_cluster_N8_K2_s42.txt,scale,cluster,8,2,Greedy_LS,2.0,753,0.071,OK
scale_cluster_N8_K2_s42.txt,scale,cluster,8,2,SA,2.0,753,1.767,OK
scale_cluster_N8_K2_s42.txt,scale,cluster,8,2,Tabu,2.0,753,2.003,OK
scale_cluster_N8_K2_s42.txt,scale,cluster,8,2,MIP,2.0,753,0.262,OK
scale_cluster_N8_K2_s42.txt,scale,cluster,8,2,Greedy_LS,5.0,753,0.061,OK
scale_cluster_N8_K2_s42.txt,scale,cluster,8,2,SA,5.0,753,4.402,OK
scale_cluster_N8_K2_s42.txt,scale,cluster,8,2,Tabu,5.0,753,5.006,OK
scale_cluster_N8_K2_s42.txt,scale,cluster,8,2,MIP,5.0,753,0.272,OK
scale_outlier_N200_K15_s42.txt,scale,outlier,200,15,Greedy_LS,0.5,670,0.503,OK
scale_outlier_N200_K15_s42.txt,scale,outlier,200,15,SA,0.5,670,0.445,OK
scale_outlier_N200_K15_s42.txt,scale,outlier,200,15,Tabu,0.5,1863,0.698,OK
scale_outlier_N200_K15_s42.txt,scale,outlier,200,15,Greedy_LS,1.0,670,0.739,OK
scale_outlier_N200_K15_s42.txt,scale,outlier,200,15,SA,1.0,670,0.883,OK
scale_outlier_N200_K15_s42.txt,scale,outlier,200,15,Tabu,1.0,1849,1.086,OK
scale_outlier_N200_K15_s42.txt,scale,outlier,200,15,Greedy_LS,2.0,670,0.635,OK
scale_outlier_N200_K15_s42.txt,scale,outlier,200,15,SA,2.0,670,1.763,OK
scale_outlier_N200_K15_s42.txt,scale,outlier,200,15,Tabu,2.0,1814,2.029,OK
scale_outlier_N200_K15_s42.txt,scale,outlier,200,15,Greedy_LS,5.0,670,0.637,OK
scale_outlier_N200_K15_s42.txt,scale,outlier,200,15,SA,5.0,670,4.403,OK
scale_outlier_N200_K15_s42.txt,scale,outlier,200,15,Tabu,5.0,1771,5.073,OK
scale_outlier_N30_K4_s42.txt,scale,outlier,30,4,Greedy_LS,0.5,652,0.127,OK
scale_outlier_N30_K4_s42.txt,scale,outlier,30,4,SA,0.5,689,0.443,OK
scale_outlier_N30_K4_s42.txt,scale,outlier,30,4,Tabu,0.5,653,0.504,OK
scale_outlier_N30_K4_s42.txt,scale,outlier,30,4,MIP,0.5,1130,0.563,OK
scale_outlier_N30_K4_s42.txt,scale,outlier,30,4,Greedy_LS,1.0,652,0.111,OK
scale_outlier_N30_K4_s42.txt,scale,outlier,30,4,SA,1.0,689,0.882,OK
scale_outlier_N30_K4_s42.txt,scale,outlier,30,4,Tabu,1.0,653,1.003,OK
scale_outlier_N30_K4_s42.txt,scale,outlier,30,4,MIP,1.0,925,1.046,OK
scale_outlier_N30_K4_s42.txt,scale,outlier,30,4,Greedy_LS,2.0,652,0.122,OK
scale_outlier_N30_K4_s42.txt,scale,outlier,30,4,SA,2.0,689,1.762,OK
scale_outlier_N30_K4_s42.txt,scale,outlier,30,4,Tabu,2.0,653,2.003,OK
scale_outlier_N30_K4_s42.txt,scale,outlier,30,4,MIP,2.0,807,2.06,OK
scale_outlier_N30_K4_s42.txt,scale,outlier,30,4,Greedy_LS,5.0,652,0.109,OK
scale_outlier_N30_K4_s42.txt,scale,outlier,30,4,SA,5.0,652,4.405,OK
scale_outlier_N30_K4_s42.txt,scale,outlier,30,4,Tabu,5.0,653,5.004,OK
scale_outlier_N30_K4_s42.txt,scale,outlier,30,4,MIP,5.0,807,5.12,OK
scale_outlier_N80_K8_s42.txt,scale,outlier,80,8,Greedy_LS,0.5,688,0.431,OK
scale_outlier_N80_K8_s42.txt,scale,outlier,80,8,SA,0.5,707,0.446,OK
scale_outlier_N80_K8_s42.txt,scale,outlier,80,8,Tabu,0.5,1009,0.514,OK
scale_outlier_N80_K8_s42.txt,scale,outlier,80,8,Greedy_LS,1.0,688,0.43,OK
scale_outlier_N80_K8_s42.txt,scale,outlier,80,8,SA,1.0,707,0.882,OK
scale_outlier_N80_K8_s42.txt,scale,outlier,80,8,Tabu,1.0,974,1.02,OK
scale_outlier_N80_K8_s42.txt,scale,outlier,80,8,Greedy_LS,2.0,688,0.423,OK
scale_outlier_N80_K8_s42.txt,scale,outlier,80,8,SA,2.0,689,1.762,OK
scale_outlier_N80_K8_s42.txt,scale,outlier,80,8,Tabu,2.0,974,2.011,OK
scale_outlier_N80_K8_s42.txt,scale,outlier,80,8,Greedy_LS,5.0,688,0.463,OK
scale_outlier_N80_K8_s42.txt,scale,outlier,80,8,SA,5.0,688,4.402,OK
scale_outlier_N80_K8_s42.txt,scale,outlier,80,8,Tabu,5.0,974,5.023,OK
scale_outlier_N8_K2_s42.txt,scale,outlier,8,2,Greedy_LS,0.5,624,0.038,OK
