solver,dist,n_runs,avg_objective,median_objective,min_objective,max_objective,avg_gap_pct,worst_gap_pct,win_rate_pct,avg_runtime
Greedy_LS,cluster,16,751.0,758.5,714,773,0.74,2.96,75.0,0.51
Greedy_LS,outlier,16,658.5,661.0,624,688,0.0,0.0,100.0,0.3
Greedy_LS,uniform,52,1084.48,1101.0,807,1289,1.17,10.16,71.15,0.46
MIP,cluster,8,1225.12,925.0,753,2160,68.86,202.52,50.0,1.27
MIP,outlier,8,770.62,715.5,624,1130,20.34,73.31,50.0,1.18
MIP,uniform,32,2046.94,2068.0,1037,3334,83.5,190.42,12.5,2.0
SA,cluster,16,748.12,747.5,714,773,0.37,1.96,81.25,1.87
SA,outlier,16,667.88,670.0,624,707,1.42,5.67,68.75,1.87
SA,uniform,52,1079.83,1101.0,807,1357,0.51,5.28,82.69,1.87
Tabu,cluster,16,1335.12,873.5,753,3033,79.26,308.76,25.0,2.19
Tabu,outlier,16,1021.0,813.5,624,1863,53.82,178.06,50.0,2.15
Tabu,uniform,52,1684.29,1390.0,807,3630,63.42,303.78,15.38,2.17
