solver,N,n_runs,avg_objective,min_objective,max_objective,avg_gap_pct,win_rate_pct,avg_runtime,max_runtime
Greedy_LS,8,12,859.33,624,1201,0.0,100.0,0.06,0.07
Greedy_LS,16,4,807.0,807,807,0.0,100.0,0.07,0.08
Greedy_LS,30,32,1034.62,652,1289,0.0,100.0,0.22,0.28
Greedy_LS,50,4,1185.0,1185,1185,0.0,100.0,0.42,0.43
Greedy_LS,80,12,816.67,688,989,0.17,66.67,0.53,0.64
Greedy_LS,120,4,1063.25,1046,1115,2.56,25.0,0.86,1.03
Greedy_LS,200,12,815.83,670,1030,3.82,33.33,0.99,1.62
Greedy_LS,300,4,928.5,919,938,3.71,0.0,1.37,2.01
MIP,8,12,859.33,624,1201,0.0,100.0,0.23,0.38
MIP,16,4,1176.5,1037,1595,45.79,0.0,2.26,5.31
MIP,30,32,2076.56,807,3334,100.08,0.0,2.24,5.99
SA,8,12,859.33,624,1201,0.0,100.0,1.87,4.4
SA,16,4,807.0,807,807,0.0,100.0,1.88,4.41
SA,30,32,1047.91,652,1357,1.38,68.75,1.87,4.41
SA,50,4,1197.0,1197,1197,1.01,0.0,1.87,4.4
SA,80,12,818.25,688,984,0.47,83.33,1.87,4.4
SA,120,4,1040.25,982,1081,0.29,75.0,1.87,4.4
SA,200,12,782.08,670,935,0.0,100.0,1.87,4.41
SA,300,4,895.25,885,899,0.0,100.0,1.87,4.4
Tabu,8,12,945.67,624,1460,7.19,66.67,2.13,5.01
Tabu,16,4,807.0,807,807,0.0,100.0,2.13,5.0
Tabu,30,32,1131.0,653,1531,8.95,25.0,2.13,5.01
Tabu,50,4,1197.0,1197,1197,1.01,0.0,2.13,5.01
Tabu,80,12,1415.75,928,2240,67.67,0.0,2.14,5.04
Tabu,120,4,1942.75,1670,2241,86.84,0.0,2.14,5.02
Tabu,200,12,2563.33,1771,3220,225.41,0.0,2.27,5.12
Tabu,300,4,3551.25,3362,3630,296.61,0.0,2.52,5.31
