solver,time_limit,n_runs,avg_objective,median_objective,min_objective,max_objective,std_objective,avg_gap_pct,median_gap_pct,worst_gap_pct,win_rate_pct,avg_runtime,timeout_rate_pct
Greedy_LS,0.5,21,943.52,989.0,624,1289,219.21,1.01,0.0,10.16,76.19,0.3,0.0
Greedy_LS,1.0,21,940.24,989.0,624,1289,217.01,0.86,0.0,10.16,80.95,0.42,0.0
Greedy_LS,2.0,21,937.76,989.0,624,1289,216.49,0.62,0.0,6.63,76.19,0.52,0.0
Greedy_LS,5.0,21,937.76,989.0,624,1289,216.49,0.99,0.0,6.97,76.19,0.52,0.0
MIP,0.5,12,1976.67,2028.0,624,3334,941.17,98.77,93.87,202.52,25.0,0.48,0.0
MIP,1.0,12,1646.33,1864.5,624,2572,699.56,66.27,70.04,152.9,25.0,0.83,0.0
MIP,2.0,12,1636.5,1864.5,624,2572,711.35,64.76,70.04,152.9,25.0,1.61,0.0
MIP,5.0,12,1529.5,1389.5,624,2572,701.93,52.34,48.48,152.9,25.0,4.03,0.0
SA,0.5,21,941.38,935.0,624,1357,220.76,0.79,0.0,5.67,76.19,0.44,0.0
SA,1.0,21,940.29,935.0,624,1357,220.09,0.85,0.0,5.67,71.43,0.88,0.0
SA,2.0,21,938.52,935.0,624,1357,220.63,0.67,0.0,5.67,80.95,1.76,0.0
SA,5.0,21,932.52,932.0,624,1357,222.72,0.3,0.0,5.28,90.48,4.4,0.0
Tabu,0.5,21,1543.62,1291.0,624,3630,862.91,70.37,14.71,308.76,23.81,0.56,0.0
Tabu,1.0,21,1510.62,1197.0,624,3630,852.32,66.6,14.71,303.78,23.81,1.06,0.0
Tabu,2.0,21,1471.81,1197.0,624,3583,809.22,62.17,14.71,299.0,23.81,2.03,0.0
Tabu,5.0,21,1439.71,1197.0,624,3362,747.96,59.31,14.71,279.89,23.81,5.03,0.0
